REGION,STORAGE,SEASON,DAYTYPE,YEAR,VALUE
GLOBAL,LDSINDEA01,1,1,2028,0.0194399999999999
GLOBAL,LDSINDEA01,1,1,2030,0.0194399999999999
GLOBAL,LDSINDEA01,1,1,2035,0.019440104432216
GLOBAL,LDSINDEA01,1,1,2037,0.0194399999999999
GLOBAL,LDSINDEA01,1,1,2041,0.0194399999999999
GLOBAL,LDSINDEA01,1,1,2043,0.0194399999999999
GLOBAL,LDSINDEA01,1,1,2046,0.0194399999999999
GLOBAL,LDSINDEA01,2,1,2038,7.77599999993682e-08
GLOBAL,LDSINDEA01,2,1,2039,1.0443235913467012e-07
GLOBAL,LDSINDEA01,2,1,2040,4.1431701032407547e-07
GLOBAL,LDSINDEA01,2,1,2042,4.143170103265765e-07
GLOBAL,LDSINDEA01,2,1,2043,4.1431703822554483e-07
GLOBAL,LDSINDEA01,2,1,2048,4.1431703822554483e-07
GLOBAL,LDSINDEA01,3,1,2028,0.0194399999999999
GLOBAL,LDSINDEA01,3,1,2029,0.0194399999999999
GLOBAL,LDSINDEA01,3,1,2035,3.124391897866812e-07
GLOBAL,LDSINDEA01,3,1,2036,3.1244089904181885e-07
GLOBAL,LDSINDEA01,3,1,2037,2.0800876232784506e-07
GLOBAL,LDSINDEA01,3,1,2040,0.0194399999999999
GLOBAL,LDSINDEA01,3,1,2043,0.0194399999999999
GLOBAL,LDSINDEA01,3,1,2045,0.0194402080084222
GLOBAL,LDSINDEA01,3,1,2047,2.0800809559191165e-07
GLOBAL,LDSINDEA01,3,1,2048,0.0194399999999999
GLOBAL,LDSINDEA01,4,1,2029,0.0194399999999999
GLOBAL,LDSINDEA01,4,1,2033,0.0194399999999999
GLOBAL,LDSINDEA01,4,1,2043,0.0194399999999999
GLOBAL,LDSINDEA01,4,1,2044,0.0194399999999999
GLOBAL,LDSINDEA01,4,1,2046,0.0194399999999999
GLOBAL,LDSINDEA01,4,1,2048,0.0194399999999999
GLOBAL,LDSINDEA01,4,1,2049,0.0194399999999999
GLOBAL,LDSINDEA01,4,1,2050,0.0194399999999999
GLOBAL,LDSINDNO01,1,1,2047,1.8693684808783994e-07
GLOBAL,LDSINDNO01,1,1,2050,1.440011520026374e-07
GLOBAL,LDSINDNO01,2,1,2030,0.0359999999999999
GLOBAL,LDSINDNO01,2,1,2033,6.455812696926076e-09
GLOBAL,LDSINDNO01,2,1,2034,6.455812696926077e-09
GLOBAL,LDSINDNO01,2,1,2035,6.455812696926077e-09
GLOBAL,LDSINDNO01,2,1,2036,6.455812696926077e-09
GLOBAL,LDSINDNO01,2,1,2037,6.4558126981814615e-09
GLOBAL,LDSINDNO01,2,1,2038,1.9339300425188042e-07
GLOBAL,LDSINDNO01,2,1,2039,1.5045581269822748e-07
GLOBAL,LDSINDNO01,2,1,2040,1.5045581269919337e-07
GLOBAL,LDSINDNO01,2,1,2041,1.933932576601844e-07
GLOBAL,LDSINDNO01,2,1,2042,6.455812696926076e-09
GLOBAL,LDSINDNO01,2,1,2043,6.455812696926076e-09
GLOBAL,LDSINDNO01,2,1,2044,1.9339301181989767e-07
GLOBAL,LDSINDNO01,2,1,2045,1.9339419284547218e-07
GLOBAL,LDSINDNO01,2,1,2046,1.9339301181989767e-07
GLOBAL,LDSINDNO01,2,1,2047,4.813949497215547e-07
GLOBAL,LDSINDNO01,3,1,2037,0.0138519193675129
GLOBAL,LDSINDNO01,3,1,2040,0.0138527644469723
GLOBAL,LDSINDNO01,3,1,2041,0.0138528010305013
GLOBAL,LDSINDNO01,3,1,2042,0.0138522122352477
GLOBAL,LDSINDNO01,3,1,2043,0.0138519193688448
GLOBAL,LDSINDNO01,3,1,2045,0.0138524167577415
GLOBAL,LDSINDNO01,3,1,2046,0.0138530044695798
GLOBAL,LDSINDNO01,3,1,2048,0.0138521915733116
GLOBAL,LDSINDNO01,3,1,2050,-4.2938607369402816e-08
GLOBAL,LDSINDNO01,4,1,2029,0.0359999999999999
GLOBAL,LDSINDNO01,4,1,2030,0.0359999999999999
GLOBAL,LDSINDNO01,4,1,2032,-1.4399999036908697e-07
GLOBAL,LDSINDNO01,4,1,2033,-1.439999903737129e-07
GLOBAL,LDSINDNO01,4,1,2035,-1.4399999036908697e-07
GLOBAL,LDSINDNO01,4,1,2038,4.2937196248747404e-08
GLOBAL,LDSINDNO01,4,1,2041,4.2937442098286e-08
GLOBAL,LDSINDNO01,4,1,2042,-1.439999903737129e-07
GLOBAL,LDSINDNO01,4,1,2044,4.2937196248747404e-08
GLOBAL,LDSINDNO01,4,1,2047,4.2936845224123e-08
GLOBAL,LDSINDSO01,1,1,2030,0.09468
GLOBAL,LDSINDSO01,1,1,2033,0.09468
GLOBAL,LDSINDSO01,1,1,2045,0.0144
GLOBAL,LDSINDSO01,1,1,2047,0.0144
GLOBAL,LDSINDSO01,2,1,2036,3.7871999999244954e-07
GLOBAL,LDSINDSO01,2,1,2038,3.882644279191805e-07
GLOBAL,LDSINDSO01,2,1,2039,3.7871999827116276e-07
GLOBAL,LDSINDSO01,2,1,2044,3.06901489127624e-07
GLOBAL,LDSINDSO01,2,1,2046,7.735720472980943e-08
GLOBAL,LDSINDSO01,3,1,2028,0.09468
GLOBAL,LDSINDSO01,3,1,2029,0.09468
GLOBAL,LDSINDSO01,3,1,2035,0.09468
GLOBAL,LDSINDSO01,3,1,2037,0.0897558938079767
GLOBAL,LDSINDSO01,3,1,2040,-3.882660201334765e-07
GLOBAL,LDSINDSO01,3,1,2041,0.0327624848245094
GLOBAL,LDSINDSO01,3,1,2042,-1.4172447883147032e-07
GLOBAL,LDSINDSO01,3,1,2046,0.0144
GLOBAL,LDSINDSO01,4,1,2028,0.09468
GLOBAL,LDSINDSO01,4,1,2030,0.09468
GLOBAL,LDSINDSO01,4,1,2031,-3.787199746789329e-07
GLOBAL,LDSINDSO01,4,1,2032,-3.787199746974366e-07
GLOBAL,LDSINDSO01,4,1,2033,-3.787199746974366e-07
GLOBAL,LDSINDSO01,4,1,2034,-3.787199746974366e-07
GLOBAL,LDSINDSO01,4,1,2035,0.06458979430484
GLOBAL,LDSINDSO01,4,1,2037,9.546513073208798e-09
GLOBAL,LDSINDSO01,4,1,2038,9.544427279543031e-09
GLOBAL,LDSINDSO01,4,1,2040,-3.787199746974366e-07
GLOBAL,LDSINDSO01,4,1,2042,-1.3823999076246514e-07
GLOBAL,LDSINDSO01,4,1,2045,0.0144
GLOBAL,LDSINDWE01,1,1,2030,0.0702699999999999
GLOBAL,LDSINDWE01,1,1,2033,3.631277117178346e-07
GLOBAL,LDSINDWE01,1,1,2034,3.631277117270865e-07
GLOBAL,LDSINDWE01,1,1,2041,3.626581955816731e-07
GLOBAL,LDSINDWE01,1,1,2047,3.6265819557242133e-07
GLOBAL,LDSINDWE01,2,1,2031,0.0004299999999999
GLOBAL,LDSINDWE01,2,1,2032,1.2601387724964218e-08
GLOBAL,LDSINDWE01,2,1,2033,3.757290701456874e-07
GLOBAL,LDSINDWE01,2,1,2034,3.757290701485064e-07
GLOBAL,LDSINDWE01,2,1,2035,1.2601387724964221e-08
GLOBAL,LDSINDWE01,2,1,2038,3.7518244292939866e-07
GLOBAL,LDSINDWE01,2,1,2039,3.7518244292939866e-07
GLOBAL,LDSINDWE01,2,1,2040,3.7518244292939866e-07
GLOBAL,LDSINDWE01,2,1,2041,3.751824429326645e-07
GLOBAL,LDSINDWE01,2,1,2042,3.7518244292939866e-07
GLOBAL,LDSINDWE01,2,1,2043,3.7518244292939866e-07
GLOBAL,LDSINDWE01,2,1,2044,3.7518244292939866e-07
GLOBAL,LDSINDWE01,2,1,2046,1.2524276629677368e-08
GLOBAL,LDSINDWE01,2,1,2047,3.7518244292939866e-07
GLOBAL,LDSINDWE01,2,1,2048,2.918842766445211e-07
GLOBAL,LDSINDWE01,2,1,2049,2.9188436409999186e-07
GLOBAL,LDSINDWE01,3,1,2028,0.07567
GLOBAL,LDSINDWE01,3,1,2029,0.07567
GLOBAL,LDSINDWE01,3,1,2032,-3.625830030037913e-07
GLOBAL,LDSINDWE01,3,1,2034,0.027949666361806
GLOBAL,LDSINDWE01,3,1,2035,0.0702699999999999
GLOBAL,LDSINDWE01,3,1,2036,-3.7518445841821953e-07
GLOBAL,LDSINDWE01,3,1,2040,0.0268748518673688
GLOBAL,LDSINDWE01,3,1,2043,0.0268748518715096
GLOBAL,LDSINDWE01,3,1,2045,0.0268732511357333
GLOBAL,LDSINDWE01,3,1,2046,0.0268727235757558
GLOBAL,LDSINDWE01,3,1,2049,0.0268743572830434
GLOBAL,LDSINDWE01,3,1,2050,0.0698399999999999
GLOBAL,LDSINDWE01,4,1,2032,-2.8107998120351397e-07
GLOBAL,LDSINDWE01,4,1,2033,8.204770624670543e-08
GLOBAL,LDSINDWE01,4,1,2035,-2.8107998120351397e-07
GLOBAL,LDSINDWE01,4,1,2036,-2.918842548725937e-07
GLOBAL,LDSINDWE01,4,1,2039,8.329816071757395e-08
GLOBAL,LDSINDWE01,4,1,2041,8.329818999044267e-08
GLOBAL,LDSINDWE01,4,1,2042,8.329816072682581e-08
GLOBAL,LDSINDWE01,4,1,2045,-2.918842548725937e-07
GLOBAL,LDSINDWE01,4,1,2047,8.329818999044267e-08
GLOBAL,SDSINDNO01,1,1,2028,9e-05
GLOBAL,SDSINDNO01,1,1,2033,-2.7975190623563304e-10
GLOBAL,SDSINDNO01,1,1,2034,8.100623268736914e-09
GLOBAL,SDSINDNO01,1,1,2037,-2.7975190623563304e-10
GLOBAL,SDSINDNO01,1,1,2039,-2.7975190623563304e-10
GLOBAL,SDSINDNO01,1,1,2041,-2.7975190623563304e-10
GLOBAL,SDSINDNO01,1,1,2043,8.21921263996814e-09
GLOBAL,SDSINDNO01,1,1,2046,7.944842052547516e-09
GLOBAL,SDSINDNO01,1,1,2049,3.2244180810904813e-08
GLOBAL,SDSINDNO01,1,1,2050,-3.154317546446572e-08
GLOBAL,SDSINDNO01,2,1,2028,9e-05
GLOBAL,SDSINDNO01,2,1,2031,8.380374498430663e-09
GLOBAL,SDSINDNO01,2,1,2034,8.380374498705502e-09
GLOBAL,SDSINDNO01,2,1,2035,2.797518835508106e-10
GLOBAL,SDSINDNO01,2,1,2038,3.3247661322411884e-08
GLOBAL,SDSINDNO01,2,1,2042,8.219213450372799e-09
GLOBAL,SDSINDNO01,2,1,2043,8.219213450372799e-09
