REGION,STORAGE,SEASON,DAYTYPE,YEAR,VALUE
GLOBAL,LDSINDEA01,1,1,2033,-4.1432375105440733e-07
GLOBAL,LDSINDEA01,1,1,2034,-4.143258406884287e-07
GLOBAL,LDSINDEA01,1,1,2035,1.0443221608026223e-07
GLOBAL,LDSINDEA01,1,1,2038,7.775999999806715e-08
GLOBAL,LDSINDEA01,1,1,2039,1.0443235913698309e-07
GLOBAL,LDSINDEA01,1,1,2044,-1.044328013578252e-07
GLOBAL,LDSINDEA01,1,1,2045,1.2355741429992406e-13
GLOBAL,LDSINDEA01,1,1,2050,-4.143258406884287e-07
GLOBAL,LDSINDEA01,2,1,2033,-4.1432375105440733e-07
GLOBAL,LDSINDEA01,2,1,2034,-4.143258406884287e-07
GLOBAL,LDSINDEA01,2,1,2035,1.0443222638045757e-07
GLOBAL,LDSINDEA01,2,1,2038,7.775999999806715e-08
GLOBAL,LDSINDEA01,2,1,2039,1.0443235913698309e-07
GLOBAL,LDSINDEA01,2,1,2045,1.2355741429992406e-13
GLOBAL,LDSINDEA01,2,1,2050,-4.143258406884287e-07
GLOBAL,LDSINDEA01,3,1,2031,-1.0443278739523389e-07
GLOBAL,LDSINDEA01,3,1,2032,-1.0443278739523389e-07
GLOBAL,LDSINDEA01,3,1,2033,-4.1432375105440733e-07
GLOBAL,LDSINDEA01,3,1,2034,-4.143258406884287e-07
GLOBAL,LDSINDEA01,3,1,2036,-1.0443278739610125e-07
GLOBAL,LDSINDEA01,3,1,2037,-1.0443278898807805e-07
GLOBAL,LDSINDEA01,3,1,2038,-1.9597004633649093e-09
GLOBAL,LDSINDEA01,3,1,2041,-1.0443278739523389e-07
GLOBAL,LDSINDEA01,3,1,2044,-1.0443278739523389e-07
GLOBAL,LDSINDEA01,3,1,2045,-1.0443269498131015e-07
GLOBAL,LDSINDEA01,3,1,2046,-1.0443278739523389e-07
GLOBAL,LDSINDEA01,3,1,2047,-1.0443277933534865e-07
GLOBAL,LDSINDEA01,3,1,2050,-4.143258406884287e-07
GLOBAL,LDSINDEA01,4,1,2033,-4.1432375105440733e-07
GLOBAL,LDSINDEA01,4,1,2034,-4.143258406884287e-07
GLOBAL,LDSINDEA01,4,1,2035,1.0443221608070504e-07
GLOBAL,LDSINDEA01,4,1,2039,1.0443235913712583e-07
GLOBAL,LDSINDEA01,4,1,2044,-1.0443280135781959e-07
GLOBAL,LDSINDEA01,4,1,2045,1.2355786848163738e-13
GLOBAL,LDSINDEA01,4,1,2050,-4.143258406884287e-07
GLOBAL,LDSINDNO01,1,1,2038,1.8693719913004394e-07
GLOBAL,LDSINDNO01,1,1,2039,1.439999999935937e-07
GLOBAL,LDSINDNO01,1,1,2040,1.439999999935937e-07
GLOBAL,LDSINDNO01,1,1,2041,1.8693744496117717e-07
GLOBAL,LDSINDNO01,1,1,2044,1.8693719913004394e-07
GLOBAL,LDSINDNO01,1,1,2045,1.8693836171396197e-07
GLOBAL,LDSINDNO01,1,1,2046,1.8693718068646395e-07
GLOBAL,LDSINDNO01,1,1,2047,1.8693684809243322e-07
GLOBAL,LDSINDNO01,1,1,2048,-6.455812065486732e-09
GLOBAL,LDSINDNO01,1,1,2049,-6.455812696926077e-09
GLOBAL,LDSINDNO01,1,1,2050,1.4400115200957633e-07
GLOBAL,LDSINDNO01,2,1,2033,6.455812695191353e-09
GLOBAL,LDSINDNO01,2,1,2034,6.455812695191353e-09
GLOBAL,LDSINDNO01,2,1,2035,6.455812695191353e-09
GLOBAL,LDSINDNO01,2,1,2036,6.455812695191353e-09
GLOBAL,LDSINDNO01,2,1,2037,6.455812695191353e-09
GLOBAL,LDSINDNO01,2,1,2038,1.9339301182697e-07
GLOBAL,LDSINDNO01,2,1,2039,1.5045581269051977e-07
GLOBAL,LDSINDNO01,2,1,2040,1.5045581269051977e-07
GLOBAL,LDSINDNO01,2,1,2041,1.9339325765810322e-07
GLOBAL,LDSINDNO01,2,1,2042,6.455812695191353e-09
GLOBAL,LDSINDNO01,2,1,2043,6.455812695191353e-09
GLOBAL,LDSINDNO01,2,1,2044,1.9339301182697e-07
GLOBAL,LDSINDNO01,2,1,2045,1.933941928549513e-07
GLOBAL,LDSINDNO01,2,1,2046,1.9339301182697e-07
GLOBAL,LDSINDNO01,2,1,2047,1.9339264570317205e-07
GLOBAL,LDSINDNO01,2,1,2050,1.5045699052959605e-07
GLOBAL,LDSINDNO01,3,1,2031,-1.933940507355125e-07
GLOBAL,LDSINDNO01,3,1,2032,-1.933940507328119e-07
GLOBAL,LDSINDNO01,3,1,2033,-1.8693820335552725e-07
GLOBAL,LDSINDNO01,3,1,2034,-1.869382033545253e-07
GLOBAL,LDSINDNO01,3,1,2035,-1.4399999036934785e-07
GLOBAL,LDSINDNO01,3,1,2036,-1.8693820335475847e-07
GLOBAL,LDSINDNO01,3,1,2037,-1.8693820335799474e-07
GLOBAL,LDSINDNO01,3,1,2039,-4.2937429780857364e-08
GLOBAL,LDSINDNO01,3,1,2040,-4.293742977912265e-08
GLOBAL,LDSINDNO01,3,1,2042,-1.8693821156269984e-07
GLOBAL,LDSINDNO01,3,1,2043,-1.8693820335475847e-07
GLOBAL,LDSINDNO01,3,1,2048,-1.933940507320431e-07
GLOBAL,LDSINDNO01,3,1,2049,-1.933940507320431e-07
GLOBAL,LDSINDNO01,3,1,2050,-4.293860736762079e-08
GLOBAL,LDSINDNO01,4,1,2031,-1.4399941437870378e-07
GLOBAL,LDSINDNO01,4,1,2032,-1.4399999036934785e-07
GLOBAL,LDSINDNO01,4,1,2033,-1.4399999037628677e-07
GLOBAL,LDSINDNO01,4,1,2034,-1.4399941437632997e-07
GLOBAL,LDSINDNO01,4,1,2035,-1.4399999036934785e-07
GLOBAL,LDSINDNO01,4,1,2036,-1.439994143761017e-07
GLOBAL,LDSINDNO01,4,1,2037,-1.439994143717649e-07
GLOBAL,LDSINDNO01,4,1,2038,4.2937196249003e-08
GLOBAL,LDSINDNO01,4,1,2041,4.293744209748346e-08
GLOBAL,LDSINDNO01,4,1,2042,-1.439999903734418e-07
GLOBAL,LDSINDNO01,4,1,2043,-1.4399941437656317e-07
GLOBAL,LDSINDNO01,4,1,2044,4.293719625247244e-08
GLOBAL,LDSINDNO01,4,1,2045,4.2938187098766345e-08
GLOBAL,LDSINDNO01,4,1,2046,4.293704768342698e-08
GLOBAL,LDSINDNO01,4,1,2047,4.29368452216361e-08
GLOBAL,LDSINDNO01,4,1,2048,-1.504558020008381e-07
GLOBAL,LDSINDNO01,4,1,2049,-1.5045580263574688e-07
GLOBAL,LDSINDSO01,1,1,2036,3.7871999999938843e-07
GLOBAL,LDSINDSO01,1,1,2037,3.882665137178165e-07
GLOBAL,LDSINDSO01,1,1,2038,3.8826442793377386e-07
GLOBAL,LDSINDSO01,1,1,2039,3.7871999827854285e-07
GLOBAL,LDSINDSO01,1,1,2043,7.735762029362862e-08
GLOBAL,LDSINDSO01,1,1,2046,7.73572047339105e-08
GLOBAL,LDSINDSO01,2,1,2036,3.7871999999938843e-07
GLOBAL,LDSINDSO01,2,1,2037,3.882665137178165e-07
GLOBAL,LDSINDSO01,2,1,2038,3.8826442793377386e-07
GLOBAL,LDSINDSO01,2,1,2039,3.7871999827854285e-07
GLOBAL,LDSINDSO01,2,1,2043,7.735762029362862e-08
GLOBAL,LDSINDSO01,2,1,2046,7.73572047339105e-08
GLOBAL,LDSINDSO01,3,1,2031,-5.086263534272162e-07
GLOBAL,LDSINDSO01,3,1,2032,-5.086263534272162e-07
GLOBAL,LDSINDSO01,3,1,2033,-3.882660201369459e-07
GLOBAL,LDSINDSO01,3,1,2034,-3.882660201334765e-07
GLOBAL,LDSINDSO01,3,1,2035,-1.2036033329373974e-07
GLOBAL,LDSINDSO01,3,1,2036,-9.544467070007559e-09
GLOBAL,LDSINDSO01,3,1,2039,-9.544468791301378e-09
GLOBAL,LDSINDSO01,3,1,2040,-3.882660201334765e-07
GLOBAL,LDSINDSO01,3,1,2041,-1.4172447883147032e-07
GLOBAL,LDSINDSO01,3,1,2042,-1.4172447883147032e-07
GLOBAL,LDSINDSO01,3,1,2045,-7.735758345006616e-08
GLOBAL,LDSINDSO01,3,1,2047,-7.73576202929907e-08
GLOBAL,LDSINDSO01,4,1,2031,-3.78719974682834e-07
GLOBAL,LDSINDSO01,4,1,2032,-3.78719974680314e-07
GLOBAL,LDSINDSO01,4,1,2033,-3.7871997468291714e-07
GLOBAL,LDSINDSO01,4,1,2034,-3.787199746829397e-07
GLOBAL,LDSINDSO01,4,1,2035,-1.2036033329373974e-07
GLOBAL,LDSINDSO01,4,1,2037,9.54651307332778e-09
GLOBAL,LDSINDSO01,4,1,2038,9.544427289525162e-09
GLOBAL,LDSINDSO01,4,1,2040,-3.787199746829397e-07
GLOBAL,LDSINDSO01,4,1,2041,-1.382398567541772e-07
GLOBAL,LDSINDSO01,4,1,2042,-1.3823999076012505e-07
GLOBAL,LDSINDSO01,4,1,2043,7.73576202930195e-08
GLOBAL,LDSINDWE01,1,1,2033,3.631277117216941e-07
GLOBAL,LDSINDWE01,1,1,2034,3.631277117333021e-07
GLOBAL,LDSINDWE01,1,1,2036,-1.2524274381475742e-08
GLOBAL,LDSINDWE01,1,1,2037,3.6265816629951764e-07
GLOBAL,LDSINDWE01,1,1,2038,3.626581305538057e-07
GLOBAL,LDSINDWE01,1,1,2039,3.6265816629951764e-07
GLOBAL,LDSINDWE01,1,1,2040,3.626581662891093e-07
GLOBAL,LDSINDWE01,1,1,2041,3.626581955712416e-07
GLOBAL,LDSINDWE01,1,1,2042,3.6265816629951764e-07
GLOBAL,LDSINDWE01,1,1,2043,3.6265816629951764e-07
GLOBAL,LDSINDWE01,1,1,2044,3.6265816629951764e-07
GLOBAL,LDSINDWE01,1,1,2045,-1.2524274387192104e-08
GLOBAL,LDSINDWE01,1,1,2047,3.626581955712416e-07
GLOBAL,LDSINDWE01,1,1,2048,2.793600000043639e-07
GLOBAL,LDSINDWE01,1,1,2049,2.7936008746218266e-07
GLOBAL,LDSINDWE01,1,1,2050,-1.2524276633146814e-08
GLOBAL,LDSINDWE01,2,1,2032,1.2601387724964221e-08
GLOBAL,LDSINDWE01,2,1,2033,3.757290701446738e-07
GLOBAL,LDSINDWE01,2,1,2034,3.757290701483784e-07
GLOBAL,LDSINDWE01,2,1,2035,1.2601387724964221e-08
GLOBAL,LDSINDWE01,2,1,2037,3.751824429326645e-07
GLOBAL,LDSINDWE01,2,1,2038,3.751824429326645e-07
GLOBAL,LDSINDWE01,2,1,2039,3.751824429326645e-07
GLOBAL,LDSINDWE01,2,1,2040,3.7518244292364593e-07
GLOBAL,LDSINDWE01,2,1,2041,3.751824429387326e-07
GLOBAL,LDSINDWE01,2,1,2042,3.751824429326645e-07
GLOBAL,LDSINDWE01,2,1,2043,3.751824429326645e-07
GLOBAL,LDSINDWE01,2,1,2044,3.751824429326645e-07
GLOBAL,LDSINDWE01,2,1,2046,1.2524276633146814e-08
GLOBAL,LDSINDWE01,2,1,2047,3.751824429326645e-07
GLOBAL,LDSINDWE01,2,1,2048,2.9188427663751076e-07
GLOBAL,LDSINDWE01,2,1,2049,2.9188436409532953e-07
